SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1369693,100001,-54,4.0,1.0,Active,0,0
1369693,100001,-55,4.0,2.0,Active,0,0
1369693,100001,-57,4.0,4.0,Active,0,0
1369693,100001,-56,4.0,3.0,Active,0,0
1369693,100001,-53,4.0,0.0,Completed,0,0
1038818,100002,-13,24.0,18.0,Active,0,0
1038818,100002,-10,24.0,15.0,Active,0,0
1038818,100002,-17,24.0,22.0,Active,0,0
1038818,100002,-12,24.0,17.0,Active,0,0
1038818,100002,-6,24.0,11.0,Active,0,0
1038818,100002,-4,24.0,9.0,Active,0,0
1038818,100002,-1,24.0,6.0,Active,0,0
1038818,100002,-7,24.0,12.0,Active,0,0
1038818,100002,-19,24.0,24.0,Active,0,0
1038818,100002,-11,24.0,16.0,Active,0,0
1038818,100002,-8,24.0,13.0,Active,0,0
1038818,100002,-2,24.0,7.0,Active,0,0
1038818,100002,-5,24.0,10.0,Active,0,0
1038818,100002,-16,24.0,21.0,Active,0,0
1038818,100002,-3,24.0,8.0,Active,0,0
1038818,100002,-14,24.0,19.0,Active,0,0
1038818,100002,-15,24.0,20.0,Active,0,0
1038818,100002,-9,24.0,14.0,Active,0,0
1038818,100002,-18,24.0,23.0,Active,0,0
1810518,100003,-18,7.0,0.0,Completed,0,0
2396755,100003,-77,12.0,12.0,Active,0,0
2396755,100003,-66,12.0,1.0,Active,0,0
2636178,100003,-26,6.0,4.0,Active,0,0
2396755,100003,-73,12.0,8.0,Active,0,0
2636178,100003,-24,6.0,2.0,Active,0,0
1810518,100003,-20,12.0,7.0,Active,0,0
2636178,100003,-22,6.0,0.0,Active,0,0
2636178,100003,-21,6.0,0.0,Completed,0,0
2636178,100003,-23,6.0,1.0,Active,0,0
2636178,100003,-25,6.0,3.0,Active,0,0
2396755,100003,-71,12.0,6.0,Active,0,0
2396755,100003,-68,12.0,3.0,Active,0,0
2396755,100003,-69,12.0,4.0,Active,0,0
2396755,100003,-74,12.0,9.0,Active,0,0
1810518,100003,-23,12.0,10.0,Active,0,0
1810518,100003,-21,12.0,8.0,Active,0,0
1810518,100003,-22,12.0,9.0,Active,0,0
2396755,100003,-70,12.0,5.0,Active,0,0
2636178,100003,-27,6.0,5.0,Active,0,0
1810518,100003,-25,12.0,12.0,Active,0,0
2396755,100003,-67,12.0,2.0,Active,0,0
2396755,100003,-72,12.0,7.0,Active,0,0
2396755,100003,-75,12.0,10.0,Active,0,0
1810518,100003,-19,12.0,6.0,Active,0,0
1810518,100003,-24,12.0,11.0,Active,0,0
2636178,100003,-28,6.0,6.0,Active,0,0
2396755,100003,-76,12.0,11.0,Active,0,0
1564014,100004,-27,4.0,4.0,Active,0,0
1564014,100004,-24,3.0,0.0,Completed,0,0
1564014,100004,-25,4.0,2.0,Active,0,0
1564014,100004,-26,4.0,3.0,Active,0,0
2495675,100005,-17,12.0,5.0,Active,0,0
2495675,100005,-23,12.0,11.0,Active,0,0
2495675,100005,-16,12.0,4.0,Active,0,0
2495675,100005,-19,12.0,7.0,Active,0,0
2495675,100005,-25,,,Signed,0,0
2495675,100005,-20,12.0,8.0,Active,0,0
2495675,100005,-21,12.0,9.0,Active,0,0
2495675,100005,-22,12.0,10.0,Active,0,0
2495675,100005,-24,12.0,12.0,Active,0,0
2495675,100005,-18,12.0,6.0,Active,0,0
2495675,100005,-15,9.0,0.0,Completed,0,0
2190416,100006,-4,12.0,6.0,Active,0,0
2190416,100006,-2,12.0,4.0,Active,0,0
2299329,100006,-13,5.0,0.0,Completed,0,0
2299329,100006,-14,5.0,0.0,Active,0,0
2190416,100006,-6,12.0,8.0,Active,0,0
2299329,100006,-19,12.0,12.0,Active,0,0
2299329,100006,-15,12.0,8.0,Active,0,0
2078043,100006,-6,48.0,48.0,Active,0,0
2299329,100006,-16,12.0,9.0,Active,0,0
2299329,100006,-20,,,Returned to the store,0,0
2190416,100006,-1,12.0,3.0,Active,0,0
2299329,100006,-18,12.0,11.0,Active,0,0
2190416,100006,-10,12.0,12.0,Active,0,0
2190416,100006,-5,12.0,7.0,Active,0,0
2190416,100006,-3,12.0,5.0,Active,0,0
2078043,100006,-4,1.0,0.0,Completed,0,0
2299329,100006,-17,12.0,10.0,Active,0,0
2190416,100006,-7,12.0,9.0,Active,0,0
2190416,100006,-8,12.0,10.0,Active,0,0
2078043,100006,-5,1.0,0.0,Active,0,0
2190416,100006,-9,12.0,11.0,Active,0,0
2001242,100007,-21,17.0,10.0,Active,0,0
2001242,100007,-14,17.0,3.0,Active,0,0
1692033,100007,-8,24.0,20.0,Active,0,0
2001242,100007,-11,17.0,0.0,Completed,0,0
2001242,100007,-26,18.0,16.0,Active,0,0
1940724,100007,-34,12.0,10.0,Active,0,0
2462742,100007,-56,12.0,10.0,Active,0,0
1692033,100007,-2,24.0,14.0,Active,0,0
1692033,100007,-12,24.0,24.0,Active,0,0
1692033,100007,-7,24.0,19.0,Active,0,0
1940724,100007,-26,12.0,2.0,Active,0,0
2001242,100007,-23,18.0,13.0,Active,0,0
2119973,100007,-72,10.0,5.0,Active,0,0
1692033,100007,-10,24.0,22.0,Active,0,0
2119973,100007,-75,10.0,8.0,Active,0,0
1940724,100007,-31,12.0,7.0,Active,0,0
1940724,100007,-36,12.0,12.0,Signed,0,0
1940724,100007,-33,12.0,9.0,Active,0,0
2462742,100007,-53,12.0,7.0,Active,0,0
1692033,100007,-4,24.0,16.0,Active,0,0
2119973,100007,-76,10.0,9.0,Active,0,0
2462742,100007,-47,12.0,1.0,Active,0,0
2462742,100007,-49,12.0,3.0,Active,0,0
2001242,100007,-19,17.0,8.0,Active,0,0
2001242,100007,-28,18.0,18.0,Active,0,0
1940724,100007,-35,12.0,11.0,Active,0,0
2001242,100007,-27,18.0,17.0,Active,0,0
2001242,100007,-16,17.0,5.0,Active,0,0
2001242,100007,-17,17.0,6.0,Active,0,0
1692033,100007,-6,24.0,18.0,Active,0,0
2001242,100007,-25,18.0,15.0,Active,0,0
2462742,100007,-50,12.0,4.0,Active,0,0
2119973,100007,-71,10.0,4.0,Active,0,0
2001242,100007,-18,17.0,7.0,Active,0,0
1940724,100007,-25,12.0,1.0,Active,0,0
2001242,100007,-24,18.0,14.0,Active,0,0
2462742,100007,-46,12.0,0.0,Completed,0,0
1940724,100007,-28,12.0,4.0,Active,0,0
1692033,100007,-5,24.0,17.0,Active,0,0
