SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100057,5004962,Closed,currency 1,-2407,0,-2312.0,-2312.0,,0,67500.0,0.0,0.0,0.0,Consumer credit,-1790,0.0
100057,5004963,Closed,currency 1,-349,0,-44.0,-134.0,,0,52933.5,0.0,0.0,0.0,Consumer credit,-99,5917.5
100057,5004964,Closed,currency 1,-1511,0,5813.0,-426.0,,0,2268000.0,0.0,0.0,0.0,Mortgage,-185,0.0
100057,5004965,Closed,currency 1,-337,0,-44.0,-134.0,,0,52933.5,0.0,,0.0,Consumer credit,-106,5917.5
100057,5004966,Closed,currency 1,-787,0,676.0,-443.0,0.0,0,242514.0,,,0.0,Car loan,-443,
100057,5004967,Closed,currency 1,-1542,0,-863.0,-863.0,0.0,0,81219.6,0.0,0.0,0.0,Consumer credit,-858,
100032,5038523,Closed,currency 1,-951,0,-586.0,-586.0,,0,152910.0,0.0,0.0,0.0,Consumer credit,-585,17437.5
100032,5038524,Closed,currency 1,-1389,0,-662.0,-662.0,,0,454500.0,0.0,0.0,0.0,Consumer credit,-652,17437.5
100032,5038525,Closed,currency 1,-1388,0,-662.0,-662.0,0.0,0,454500.0,0.0,0.0,0.0,Consumer credit,-456,17437.5
100032,5038526,Active,currency 1,-556,0,-191.0,,0.0,0,209250.0,0.0,0.0,0.0,Consumer credit,-54,17437.5
100044,5057753,Closed,currency 1,-2729,0,-1624.0,-1781.0,0.0,0,225000.0,0.0,0.0,0.0,Credit card,-1781,
100044,5057754,Closed,currency 1,-2648,0,-2433.0,-2493.0,5476.5,0,38130.84,0.0,0.0,0.0,Consumer credit,-2493,
100044,5057755,Closed,currency 1,-2480,0,-1779.0,-1808.0,7425.0,0,106134.12,0.0,0.0,0.0,Consumer credit,-1808,
100044,5057756,Active,currency 1,-1827,0,660.0,,18406.935,0,135000.0,-130.005,418630.005,0.0,Credit card,-651,
100044,5057757,Active,currency 1,-1739,0,1178.0,,1125.0,0,22500.0,-78.885,247578.885,0.0,Credit card,-654,
100044,5057758,Active,currency 1,-403,0,509.0,,14310.0,0,279859.5,261509.49,0.0,0.0,Consumer credit,-218,
100044,5057759,Active,currency 1,-948,0,416.0,,,0,180000.0,173709.0,0.0,0.0,Credit card,-70,
100044,5057760,Active,currency 1,-773,0,1053.0,,,0,900000.0,648292.5,0.0,0.0,Consumer credit,-11,
100044,5057761,Closed,currency 1,-1634,0,-1486.0,-970.0,,0,360000.0,,,0.0,Consumer credit,-967,
100044,5057762,Closed,currency 1,-1809,0,-1628.0,-970.0,,0,15570.0,,,0.0,Consumer credit,-967,
100044,5057763,Active,currency 1,-83,0,648.0,,0.0,0,67500.0,64462.5,0.0,0.0,Consumer credit,-18,
100077,5059219,Closed,currency 1,-778,0,-650.0,-649.0,,0,225000.0,0.0,0.0,0.0,Credit card,-633,
100077,5059220,Closed,currency 1,-1186,0,-1002.0,-977.0,,0,96228.0,0.0,0.0,0.0,Consumer credit,-721,
100077,5059221,Closed,currency 1,-1185,0,-1002.0,-1002.0,,0,96228.0,0.0,,0.0,Consumer credit,-773,
100077,5059222,Active,currency 1,-148,0,,,0.0,0,270000.0,257926.5,12073.05,0.0,Credit card,-24,
