SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1369693,100001,1.0,1,-1709.0,-1715.0,3951.0,3951.0
1369693,100001,1.0,3,-1649.0,-1660.0,3951.0,3951.0
1369693,100001,2.0,4,-1619.0,-1628.0,17397.9,17397.9
1369693,100001,1.0,2,-1679.0,-1715.0,3951.0,3951.0
1038818,100002,1.0,14,-175.0,-194.0,9251.775,9251.775
1038818,100002,1.0,6,-415.0,-446.0,9251.775,9251.775
1038818,100002,2.0,19,-25.0,-49.0,53093.745,53093.745
1038818,100002,1.0,13,-205.0,-224.0,9251.775,9251.775
1038818,100002,1.0,10,-295.0,-312.0,9251.775,9251.775
1038818,100002,1.0,7,-385.0,-412.0,9251.775,9251.775
1038818,100002,1.0,17,-85.0,-99.0,9251.775,9251.775
1038818,100002,1.0,9,-325.0,-344.0,9251.775,9251.775
1038818,100002,1.0,16,-115.0,-133.0,9251.775,9251.775
1038818,100002,1.0,8,-355.0,-375.0,9251.775,9251.775
1038818,100002,1.0,1,-565.0,-587.0,9251.775,9251.775
1038818,100002,1.0,18,-55.0,-67.0,9251.775,9251.775
1038818,100002,1.0,3,-505.0,-529.0,9251.775,9251.775
1038818,100002,1.0,12,-235.0,-250.0,9251.775,9251.775
1038818,100002,1.0,15,-145.0,-160.0,9251.775,9251.775
1038818,100002,1.0,4,-475.0,-498.0,9251.775,9251.775
1038818,100002,1.0,11,-265.0,-284.0,9251.775,9251.775
1038818,100002,1.0,5,-445.0,-468.0,9251.775,9251.775
1038818,100002,1.0,2,-535.0,-562.0,9251.775,9251.775
2396755,100003,1.0,6,-2160.0,-2168.0,6737.31,6737.31
1810518,100003,1.0,1,-716.0,-719.0,98356.995,98356.995
2396755,100003,1.0,3,-2250.0,-2260.0,6737.31,6737.31
2396755,100003,1.0,12,-1980.0,-1985.0,6662.97,6662.97
2396755,100003,1.0,7,-2130.0,-2136.0,6737.31,6737.31
1810518,100003,1.0,4,-626.0,-629.0,98356.995,98356.995
2636178,100003,1.0,4,-707.0,-719.0,64567.665,64567.665
1810518,100003,2.0,7,-536.0,-544.0,560835.36,560835.36
2396755,100003,1.0,10,-2040.0,-2044.0,6737.31,6737.31
1810518,100003,1.0,6,-566.0,-570.0,98356.995,98356.995
1810518,100003,1.0,2,-686.0,-690.0,98356.995,98356.995
2636178,100003,1.0,5,-677.0,-690.0,64567.665,64567.665
2396755,100003,1.0,4,-2220.0,-2226.0,6737.31,6737.31
2636178,100003,1.0,1,-797.0,-806.0,64567.665,64567.665
2636178,100003,1.0,2,-767.0,-777.0,64567.665,64567.665
2396755,100003,1.0,1,-2310.0,-2324.0,6737.31,6737.31
1810518,100003,1.0,5,-596.0,-600.0,98356.995,98356.995
2396755,100003,1.0,2,-2280.0,-2290.0,6737.31,6737.31
2396755,100003,1.0,8,-2100.0,-2105.0,6737.31,6737.31
2396755,100003,1.0,9,-2070.0,-2071.0,6737.31,6737.31
2396755,100003,1.0,11,-2010.0,-2013.0,6737.31,6737.31
1810518,100003,1.0,3,-656.0,-661.0,98356.995,98356.995
2636178,100003,1.0,6,-647.0,-661.0,64275.615,64275.615
2636178,100003,1.0,3,-737.0,-746.0,64567.665,64567.665
2396755,100003,1.0,5,-2190.0,-2199.0,6737.31,6737.31
1564014,100004,1.0,2,-754.0,-763.0,5357.25,5357.25
1564014,100004,1.0,1,-784.0,-795.0,5357.25,5357.25
1564014,100004,2.0,3,-724.0,-727.0,10573.965,10573.965
