SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1369693,100001,Consumer loans,3951.0,24835.5,23787.0,2520.0,24835.5,FRIDAY,13,Y,1,0.10432619040213977,,,XAP,Approved,-1740,Cash through the bank,XAP,Family,Refreshed,Mobile,POS,XNA,Country-wide,23,Connectivity,8.0,high,POS mobile with interest,365243.0,-1709.0,-1499.0,-1619.0,-1612.0,0.0
1038818,100002,Consumer loans,9251.775,179055.0,179055.0,0.0,179055.0,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-606,XNA,XAP,,New,Vehicles,POS,XNA,Stone,500,Auto technology,24.0,low_normal,POS other with interest,365243.0,-565.0,125.0,-25.0,-17.0,0.0
1810518,100003,Cash loans,98356.995,900000.0,1035882.0,,900000.0,FRIDAY,12,Y,1,,,,XNA,Approved,-746,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-716.0,-386.0,-536.0,-527.0,1.0
2636178,100003,Consumer loans,64567.665,337500.0,348637.5,0.0,337500.0,SUNDAY,17,Y,1,0.0,,,XAP,Approved,-828,Cash through the bank,XAP,Family,Refreshed,Furniture,POS,XNA,Stone,1400,Furniture,6.0,middle,POS industry with interest,365243.0,-797.0,-647.0,-647.0,-639.0,0.0
2396755,100003,Consumer loans,6737.31,68809.5,68053.5,6885.0,68809.5,SATURDAY,15,Y,1,0.10006059514256237,,,XAP,Approved,-2341,Cash through the bank,XAP,Family,Refreshed,Consumer Electronics,POS,XNA,Country-wide,200,Consumer electronics,12.0,middle,POS household with interest,365243.0,-2310.0,-1980.0,-1980.0,-1976.0,1.0
1564014,100004,Consumer loans,5357.25,24282.0,20106.0,4860.0,24282.0,FRIDAY,5,Y,1,0.21200760306744432,,,XAP,Approved,-815,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Regional / Local,30,Connectivity,4.0,middle,POS mobile without interest,365243.0,-784.0,-694.0,-724.0,-714.0,0.0
1857999,100005,Cash loans,,0.0,0.0,,,FRIDAY,10,Y,1,,,,XNA,Canceled,-315,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2495675,100005,Consumer loans,4813.2,44617.5,40153.5,4464.0,44617.5,THURSDAY,11,Y,1,0.10896401228625127,,,XAP,Approved,-757,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,37,Connectivity,12.0,high,POS mobile with interest,365243.0,-706.0,-376.0,-466.0,-460.0,0.0
1489396,100006,Revolving loans,13500.0,270000.0,270000.0,,270000.0,THURSDAY,15,Y,1,,,,XAP,Approved,-181,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1243599,100006,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-181,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2299329,100006,Consumer loans,2482.92,26912.34,24219.0,2693.34,26912.34,TUESDAY,15,Y,1,0.10899431669973364,,,XAP,Approved,-617,XNA,XAP,,New,Construction Materials,POS,XNA,Stone,30,Construction,12.0,middle,POS industry with interest,365243.0,-545.0,-215.0,-425.0,-416.0,0.0
2545789,100006,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-181,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1697039,100006,Cash loans,32696.1,688500.0,906615.0,,688500.0,THURSDAY,15,Y,1,,,,XNA,Refused,-181,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,,,,,,
2827850,100006,Revolving loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XAP,Canceled,-181,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2190416,100006,Consumer loans,29027.52,334917.0,267930.0,66987.0,334917.0,SUNDAY,15,Y,1,0.2178298883821148,,,XAP,Approved,-311,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,8025,Consumer electronics,12.0,high,POS household with interest,365243.0,-281.0,49.0,365243.0,365243.0,0.0
1020698,100006,Cash loans,39954.51,454500.0,481495.5,,454500.0,SATURDAY,12,Y,1,,,,XNA,Approved,-438,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,,,,,,
2078043,100006,Cash loans,24246.0,675000.0,675000.0,,675000.0,THURSDAY,15,Y,1,,,,XNA,Approved,-181,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,365243.0,-151.0,1259.0,-151.0,-143.0,0.0
2119973,100007,Consumer loans,1834.29,17176.5,14616.0,3676.5,17176.5,SATURDAY,13,Y,1,0.21888985798948887,,,XAP,Approved,-2357,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,1200,Consumer electronics,10.0,high,POS household with interest,365243.0,-2326.0,-2056.0,-2056.0,-2041.0,1.0
2730157,100007,Cash loans,13010.985,225000.0,284400.0,,225000.0,FRIDAY,13,Y,1,,,,XNA,Approved,-867,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
2001242,100007,Cash loans,16509.6,180000.0,180000.0,,180000.0,SUNDAY,14,Y,1,,,,XNA,Approved,-865,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Regional / Local,1200,Consumer electronics,18.0,high,Cash Street: high,365243.0,-834.0,-324.0,-354.0,-347.0,0.0
1692033,100007,Cash loans,16037.64,247500.0,274288.5,,247500.0,MONDAY,11,Y,1,,,,XNA,Approved,-374,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-344.0,346.0,365243.0,365243.0,1.0
1940724,100007,Cash loans,22678.785,202500.0,215865.0,,202500.0,THURSDAY,8,Y,1,,,,XNA,Approved,-1106,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,12.0,middle,Cash X-Sell: middle,365243.0,-1076.0,-746.0,-746.0,-739.0,1.0
2462742,100007,Consumer loans,3601.53,31005.0,30663.0,3105.0,31005.0,SUNDAY,15,Y,1,0.10014295406086453,,,XAP,Approved,-1768,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,53,Connectivity,12.0,high,POS mobile with interest,365243.0,-1736.0,-1406.0,-1406.0,-1397.0,0.0
1757431,100008,Cash loans,,0.0,0.0,,,FRIDAY,18,Y,1,,,,XNA,Canceled,-82,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1186888,100008,Consumer loans,8019.09,44455.5,39955.5,4500.0,44455.5,MONDAY,13,Y,1,0.1102430315913462,,,XAP,Approved,-2536,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,50,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2491.0,-2341.0,-2341.0,-2334.0,0.0
1907290,100008,Consumer loans,12144.285,121455.0,109309.5,12145.5,121455.0,MONDAY,9,Y,1,0.1089090909090909,,,XAP,Approved,-2333,Cash through the bank,XAP,,Repeater,Gardening,POS,XNA,Regional / Local,96,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-2299.0,-2029.0,-2029.0,-703.0,0.0
2218188,100008,Consumer loans,17885.835,162598.5,162598.5,0.0,162598.5,THURSDAY,10,Y,1,0.0,,,XAP,Approved,-370,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,110,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-339.0,-69.0,-69.0,-66.0,0.0
2613879,100008,Cash loans,25309.575,450000.0,501975.0,,450000.0,MONDAY,10,Y,1,,,,XNA,Approved,-639,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,x-sell,Country-wide,110,Consumer electronics,30.0,middle,Cash X-Sell: middle,365243.0,-609.0,261.0,-399.0,-388.0,1.0
2227125,100009,Consumer loans,8821.26,46876.5,44694.0,4689.0,46876.5,WEDNESDAY,13,Y,1,0.1034110376592607,,,XAP,Approved,-305,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,18,Connectivity,6.0,high,POS mobile with interest,365243.0,-274.0,-124.0,-124.0,-119.0,0.0
